name,team,battingStyle,bowlingStyle,playingRole
ABde Villiers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Shahbaz Ahmed,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder
Dan Christian,RCB,Right hand Bat,Right arm Fast medium,Allrounder
Harshal Patel,RCB,Right hand Bat,Right arm Medium,Bowler
George Garton,RCB,Left hand Bat,Left arm Fast,Bowling Allrounder
Mohammed Siraj,RCB,Right hand Bat,Right arm Fast,Bowler
Yuzvendra Chahal,RCB,Right hand Bat,Legbreak Googly,Bowler
Tom Curran,Capitals,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Ambati Rayudu,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter
MS Dhoni ,Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Ripal Patel,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
Rohit Sharma,Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter
Ishan Kishan,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter
Hardik Pandya,Mumbai,Right hand Bat,Right arm Medium fast,Allrounder
Kieron Pollard,Mumbai,Right hand Bat,Right arm Medium,Batting Allrounder
Suryakumar Yadav,Mumbai,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
James Neesham,Mumbai,Left hand Bat,Right arm Medium fast,Batting Allrounder
Krunal Pandya,Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder
Nathan Nile,Mumbai,Right hand Bat,Right arm Fast,Bowling Allrounder
Piyush Chawla,Mumbai,Left hand Bat,Legbreak,Bowling Allrounder
Jasprit Bumrah,Mumbai,Right hand Bat,Right arm Fast,Bowler
Trent Boult,Mumbai,Right hand Bat,Left arm Fast medium,Bowler
Jason Roy,Sunrisers,Right hand Bat,Not Available,Opening Batter
Abhishek Sharma,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder
Manish Pandey,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter
Mohammad Nabi,Sunrisers,Right hand Bat,Right arm Offbreak,Allrounder
Abdul Samad,Sunrisers,Right hand Bat,Legbreak,Batter
Priyam Garg,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter
Jason Holder,Sunrisers,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Rashid Khan,Sunrisers,Right hand Bat,Legbreak Googly,Bowling Allrounder
Wriddhiman Saha,Sunrisers,Right hand Bat,Not Available,Wicketkeeper Batter
Siddarth Kaul,Sunrisers,Right hand Bat,Right arm Medium,Bowler
Umran Malik,Sunrisers,Right hand Bat,Right arm Fast,Bowler
Yashasvi Jaiswal,Royals,Left hand Bat,Legbreak,Opening Batter
Liam Livingstone,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Sanju Samson,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
Shivam Dube,Royals,Left hand Bat,Right arm Medium,Allrounder
Anuj Rawat,Royals,Left hand Bat,Not Available,Wicketkeeper Batter
Glenn Phillips,Royals,Right hand Bat,Right arm Offbreak,Allrounder
Rahul Tewatia,Royals,Left hand Bat,Legbreak,Bowling Allrounder
Chris Morris,Royals,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Jaydev Unadkat,Royals,Right hand Bat,Left arm Medium,Bowler
Chetan Sakariya,Royals,Left hand Bat,Left arm Medium fast,Bowler
Mustafizur Rahman,Royals,Left hand Bat,Left arm Fast medium,Bowler
KL Rahul,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
Mayank Agarwal,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
Sarfaraz Khan,Punjab Kings,Right hand Bat,Legbreak,Middle order Batter
M Shahrukh Khan,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
Aiden Markram,Punjab Kings,Right hand Bat,Right arm Offbreak,Opening Batter
Moises Henriques,Punjab Kings,Right hand Bat,Right arm Fast medium,Allrounder
Mohammed Shami,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
Harpreet Brar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler
Arshdeep Singh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler
Chris Jordan,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
Ravi Bishnoi,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
Kane Williamson,Sunrisers,Right hand Bat,Right arm Offbreak,Top order Batter
Bhuvneshwar Kumar,Sunrisers,Right hand Bat,Right arm Medium,Bowler
Evin Lewis,Royals,Left hand Bat,Not Available,Opening Batter
David Miller,Royals,Left hand Bat,Right arm Offbreak,Middle order Batter
Shreyas Gopal,Royals,Right hand Bat,Legbreak,Allrounder
Kuldip Yadav,Royals,Left hand Bat,Left arm Fast medium,Bowler
Jayant Yadav,Mumbai,Right hand Bat,Right arm Offbreak,Bowler
Tim Southee,KKR,Right hand Bat,Right arm Medium fast,Bowler
Nicholas Pooran,Punjab Kings,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Suresh Raina,Super Kings,Left hand Bat,Right arm Offbreak,Middle order Batter
Akash Singh,Royals,Right hand Bat,Left arm Medium fast,Bowler
Mayank Markande,Royals,Right hand Bat,Legbreak,Bowler
Sam Curran,Super Kings,Left hand Bat,Left arm Medium fast,Allrounder
KM Asif,Super Kings,Right hand Bat,Right arm Medium,Bowler
Quintonde Kock,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter
Saurabh Tiwary,Mumbai,Left hand Bat,Not Available,Top order Batter
Steven Smith,Capitals,Right hand Bat,Legbreak Googly,Top order Batter
Tim Seifert,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
Deepak Hooda,Punjab Kings,Right hand Bat,Right arm Offbreak,Allrounder
Fabian Allen,Punjab Kings,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Nathan Ellis,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
Sandeep Sharma,Sunrisers,Right hand Bat,Right arm Medium,Bowler
Mahipal Lomror,Royals,Left hand Bat,Slow Left arm Orthodox,Allrounder
Riyan Parag,Royals,Right hand Bat,Legbreak,Top order Batter
Kartik Tyagi,Royals,Right hand Bat,Right arm Fast,Bowler
Mandeep Singh,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
Chris Gayle,Punjab Kings,Left hand Bat,Right arm Offbreak,Allrounder
Rahul Chahar,Mumbai,Right hand Bat,Legbreak Googly,Bowler
Lalit Yadav,Capitals,Right hand Bat,Right arm Offbreak,Allrounder
Sandeep Warrier,KKR,Right hand Bat,Right arm Medium,Bowler
Kyle Jamieson,RCB,Right hand Bat,Right arm Fast medium,Bowler
Adam Milne,Mumbai,Right hand Bat,Right arm Fast,Bowler
Andre Russell,KKR,Right hand Bat,Right arm Fast,Allrounder
Prasidh Krishna,KKR,Right hand Bat,Right arm Fast medium,Bowler
David Warner,Sunrisers,Left hand Bat,Legbreak,Opening Batter
Kedar Jadhav,Sunrisers,Right hand Bat,Right arm Offbreak,Batting Allrounder
Khaleel Ahmed,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
Tabraiz Shamsi,Royals,Right hand Bat,Left arm Wrist spin,Bowler
Tim David,RCB,Right hand Bat,Right arm Offbreak,Middle order Batter
Wanindu Hasaranga,RCB,Right hand Bat,Legbreak,Allrounder
Navdeep Saini,RCB,Right hand Bat,Right arm Fast,Bowler
Ishan Porel,Punjab Kings,Right hand Bat,Right arm Medium,Bowler
Adil Rashid,Punjab Kings,Right hand Bat,Legbreak,Bowler
Sachin Baby,RCB,Left hand Bat,Right arm Offbreak,Batter
Anmolpreet Singh,Mumbai,Right hand Bat,Right arm Offbreak,Batter
Prabhsimran Singh,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
Dawid Malan,Punjab Kings,Left hand Bat,Legbreak,Top order Batter
Ishant Sharma,Capitals,Right hand Bat,Right arm Fast medium,Bowler
Riley Meredith,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
Jos Buttler,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
Jonny Bairstow,Sunrisers,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Vijay Shankar,Sunrisers,Right hand Bat,Right arm Medium,Allrounder
Dhawal Kulkarni,Mumbai,Right hand Bat,Right arm Medium,Bowler
Lungi Ngidi,Super Kings,Right hand Bat,Right arm Fast medium,Bowler
Rajat Patidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter
Daniel Sams,RCB,Right hand Bat,Left arm Fast medium,Allrounder
Pat Cummins,KKR,Right hand Bat,Right arm Fast,Bowler
Jagadeesha Suchith,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
Washington Sundar,RCB,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Amit Mishra,Capitals,Right hand Bat,Legbreak,Bowler
Imran Tahir,Super Kings,Right hand Bat,Legbreak Googly,Bowler
Manan Vohra,Royals,Right hand Bat,Right arm Medium,Opening Batter
Kane Richardson,RCB,Right hand Bat,Right arm Fast medium,Bowler
Kamlesh Nagarkoti,KKR,Right hand Bat,Right arm Fast,Bowler
Murugan Ashwin,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
Chris Woakes,Capitals,Right hand Bat,Right arm Fast medium,Allrounder
Lukman Meriwala,Capitals,Left hand Bat,Left arm Fast medium,Bowler
Jalaj Saxena,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder
Jhye Richardson,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
Harbhajan Singh,KKR,Right hand Bat,Right arm Offbreak,Bowler
Virat Singh,Sunrisers,Left hand Bat,Legbreak Googly,Top order Batter
Mujeeb Rahman,Sunrisers,Right hand Bat,Right arm Offbreak,Bowler
Ajinkya Rahane,Capitals,Right hand Bat,Right arm Medium,Top order Batter
Shahbaz Nadeem,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
TNatarajan TNatarajan,Sunrisers,Left hand Bat,Left arm Medium,Bowler
Marco Jansen,Mumbai,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Ben Stokes,Royals,Left hand Bat,Right arm Fast medium,Allrounder
Chris Lynn,Mumbai,Right hand Bat,Slow Left arm Orthodox,Batter
Obed Coy,Royals,Left hand Bat,Left arm Fast medium,Bowler
Matthew Wade,Titans,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Yash Dayal,Titans,Right hand Bat,Left arm Medium fast,Bowler
Sai Kishore,Titans,Left hand Bat,Slow Left arm Orthodox,Bowler
Dushmantha Chameera,Super Giants,Right hand Bat,Right arm Fast,Bowler
Mohsin Khan,Super Giants,Left hand Bat,Left arm Medium fast,Bowler
Alzarri Joseph,Titans,Right hand Bat,Right arm Fast,Bowler
Romario Shepherd,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Jitesh Sharma,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
Prerak Mankad,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
Fazalhaq Farooqi,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
Mitchell Marsh,Capitals,Right hand Bat,Right arm Medium,Allrounder
Rovman Powell,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
Kuldeep Yadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler
Dewald Brevis,Mumbai,Right hand Bat,Legbreak,Batting Allrounder
Tilak Varma,Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder
Ramandeep Singh,Mumbai,Right hand Bat,Right arm Medium,Middle order Batter
Hrithik Shokeen,Mumbai,Right hand Bat,Right arm Offbreak,Bowler
Devon Conway,Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Narayan Jagadeesan,Super Kings,Right hand Bat,Not Available,Opening Batter
Mitchell Santner,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Simarjeet Singh,Super Kings,Right hand Bat,Right arm Medium fast,Bowler
Mukesh Choudhary,Super Kings,Left hand Bat,Left arm Medium,Bowler
Matheesha Pathirana,Super Kings,Right hand Bat,Right arm Fast,Bowler
Prashant Solanki,Super Kings,Right hand Bat,Legbreak,Bowler
Abhijeet Tomar,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
Sam Billings,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
Rinku Singh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter
Umesh Yadav,KKR,Right hand Bat,Right arm Fast,Bowler
Krishnappa Gowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Tristan Stubbs,Mumbai,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Sanjay Yadav,Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder
Bhanuka Rajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter
Rishi Dhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder
Ayush Badoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter
Shashank Singh,Sunrisers,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder
Maheesh Theekshana,Super Kings,Right hand Bat,Right arm Offbreak,Bowler
Kumar Kartikeya,Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
Rassievander Dussen,Royals,Right hand Bat,Legbreak,Top order Batter
Kuldeep Sen,Royals,Right hand Bat,Right arm Fast,Bowler
Karan Sharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder
Sheldon Jackson,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
Baba Indrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter
Aaron Finch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Anukul Roy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
Harshit Rana,KKR,Right hand Bat,Right arm Fast,Bowler
Sai Sudharsan,Titans,Left hand Bat,Legbreak,Top order Batter
Pradeep Sangwan,Titans,Right hand Bat,Left arm Medium,Bowler
Sean Abbott,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Dwaine Pretorius,Super Kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Karun Nair,Royals,Right hand Bat,Right arm Offbreak,Top order Batter
Daryl Mitchell,Royals,Right hand Bat,Right arm Medium,Batting Allrounder
Abhinav Manohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder
Suyash Prabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder
Vaibhav Arora,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
Odean Smith,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Tymal Mills,Mumbai,Right hand Bat,Left arm Fast,Bowler
Aman Khan,KKR,Right hand Bat,Right arm Medium,Allrounder
Basil Thampi,Mumbai,Right hand Bat,Right arm Fast medium,Bowler
Akash Deep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Darshan Nalkande,Titans,Right hand Bat,Right arm Fast medium,Bowler
Rasikh Salam,KKR,Right hand Bat,Right arm Medium,Bowler
David Willey,RCB,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Andrew Tye,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
Sherfane Rutherford,RCB,Left hand Bat,Right arm Fast medium,Middle order Batter
Varun Aaron,Titans,Right hand Bat,Right arm Fast,Bowler
Raj Bawa,Punjab Kings,Left hand Bat,Right arm Medium fast,Allrounder
Tushar Deshpande,Super Kings,Left hand Bat,Right arm Medium,Bowler
Noor Ahmad,Titans,Right hand Bat,Left arm Wrist spin,Bowler
Josh Little,Titans,Right hand Bat,Left arm Fast medium,Bowler
Mohit Sharma,Titans,Right hand Bat,Right arm Medium,Bowler
Nehal Wadhera,Mumbai,Left hand Bat,Legbreak,Top order Batter
Cameron Green,Mumbai,Right hand Bat,Right arm Fast medium,Batting Allrounder
Vishnu Vinod,Mumbai,Right hand Bat,Not Available,Wicketkeeper Batter
Jason Behrendorff,Mumbai,Right hand Bat,Left arm Fast medium,Bowler
Akash Madhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler
Kyle Mayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder
Naveen Haq,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
Yash Thakur,Super Giants,Right hand Bat,Right arm Fast medium,Bowler
Dasun Shanaka,Titans,Right hand Bat,Right arm Medium,Allrounder
Michael Bracewell,RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder
Wayne Parnell,RCB,Left hand Bat,Left arm Medium fast,Bowler
Vijaykumar Vyshak,RCB,Right hand Bat,Right arm Medium,Bowler
Himanshu Sharma,RCB,Right hand Bat,Legbreak,Bowler
Vivrant Sharma,Sunrisers,Left hand Bat,Legbreak Googly,Allrounder
Heinrich Klaasen,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Harry Brook,Sunrisers,Right hand Bat,Right arm Medium,Batter
Sanvir Singh,Sunrisers,Right hand Bat,Right arm Medium,Allrounder
Nitish Reddy,Sunrisers,Right hand Bat,Right arm Medium fast,Batting Allrounder
Mayank Dagar,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
Rahmanullah Gurbaz,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
Suyash Sharma,KKR,Right hand Bat,Legbreak Googly,Bowler
Phil Salt,Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Rilee Rossouw,Capitals,Left hand Bat,Right arm Offbreak,Top order Batter
Yash Dhull,Capitals,Right hand Bat,Right arm Offbreak,Top order Batter
Atharva Taide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Dhruv Jurel,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
Adam Zampa,Royals,Right hand Bat,Legbreak Googly,Bowler
Karn Sharma,RCB,Left hand Bat,Legbreak Googly,Bowler
Mukesh Kumar,Capitals,Right hand Bat,Right arm Medium,Bowler
Swapnil Singh,Super Giants,Right hand Bat,Slow Left arm Orthodox,Bowler
Joe Root,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
Sikandar Raza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder
Praveen Dubey,Capitals,Right hand Bat,Legbreak Googly,Bowler
Yudhvir Singh,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
Arshad Khan,Mumbai,Left hand Bat,Left arm Medium,Bowler
Jofra Archer,Mumbai,Right hand Bat,Right arm Fast,Bowler
Raghav Goyal,Mumbai,Left hand Bat,Left arm Wrist spin,Bowler
Matthew Short,Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter
Akeal Hosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
David Wiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder
Gurnoor Brar,Punjab Kings,Left hand Bat,Right arm Fast,Bowler
Arjun Tendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler
Kulwant Khejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler
Abdul Basith,Royals,Right hand Bat,Right arm Offbreak,Allrounder
Harpreet Singh,Punjab Kings,Left hand Bat,Right arm Medium,Batter
Litton Das,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Duan Jansen,Mumbai,Right hand Bat,Left arm Fast,Bowler
Mark Wood,Super Giants,Right hand Bat,Right arm Fast,Bowler
Abishek Porel,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
Sisanda Magala,Super Kings,Right hand Bat,Right arm Fast medium,Bowler
Mohit Rathee,Punjab Kings,Right hand Bat,Legbreak,Allrounder
Rajvardhan Hangargekar,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Reece Topley,RCB,Right hand Bat,Left arm Fast medium,Bowler
